RT,SERIALNO,DIVISION,SPORDER,PUMA,REGION,ST,ADJINC,PWGTP,AGEP,CIT,CITWP,COW,DDRS,DEAR,DEYE,DOUT,DPHY,DRAT,DRATX,DREM,ENG,FER,GCL,GCM,GCR,HINS1,HINS2,HINS3,HINS4,HINS5,HINS6,HINS7,INTP,JWMNP,JWRIP,JWTR,LANX,MAR,MARHD,MARHM,MARHT,MARHW,MARHYP,MIG,MIL,MLPA,MLPB,MLPCD,MLPE,MLPFG,MLPH,MLPI,MLPJ,MLPK,NWAB,NWAV,NWLA,NWLK,NWRE,OIP,PAP,RELP,RETP,SCH,SCHG,SCHL,SEMP,SEX,SSIP,SSP,WAGP,WKHP,WKL,WKW,WRK,YOEP,ANC,ANC1P,ANC2P,DECADE,DIS,DRIVESP,ESP,ESR,FOD1P,FOD2P,HICOV,HISP,INDP,JWAP,JWDP,LANP,MIGPUMA,MIGSP,MSP,NAICSP,NATIVITY,NOP,OC,OCCP,PAOC,PERNP,PINCP,POBP,POVPIP,POWPUMA,POWSP,PRIVCOV,PUBCOV,QTRBIR,RAC1P,RAC2P,RAC3P,RACAIAN,RACASN,RACBLK,RACNH,RACNUM,RACPI,RACSOR,RACWHT,RC,SCIENGP,SCIENGRLP,SFN,SFR,SOCP,VPS,WAOB,FAGEP,FANCP,FCITP,FCITWP,FCOWP,FDDRSP,FDEARP,FDEYEP,FDISP,FDOUTP,FDPHYP,FDRATP,FDRATXP,FDREMP,FENGP,FESRP,FFERP,FFODP,FGCLP,FGCMP,FGCRP,FHICOVP,FHINS1P,FHINS2P,FHINS3C,FHINS3P,FHINS4C,FHINS4P,FHINS5C,FHINS5P,FHINS6P,FHINS7P,FHISP,FINDP,FINTP,FJWDP,FJWMNP,FJWRIP,FJWTRP,FLANP,FLANXP,FMARP,FMARHDP,FMARHMP,FMARHTP,FMARHWP,FMARHYP,FMIGP,FMIGSP,FMILPP,FMILSP,FOCCP,FOIP,FPAP,FPERNP,FPINCP,FPOBP,FPOWSP,FPRIVCOVP,FPUBCOVP,FRACP,FRELP,FRETP,FSCHGP,FSCHLP,FSCHP,FSEMP,FSEXP,FSSIP,FSSP,FWAGP,FWKHP,FWKLP,FWKWP,FWRKP,FYOEP,PWGTP1,PWGTP2,PWGTP3,PWGTP4,PWGTP5,PWGTP6,PWGTP7,PWGTP8,PWGTP9,PWGTP10,PWGTP11,PWGTP12,PWGTP13,PWGTP14,PWGTP15,PWGTP16,PWGTP17,PWGTP18,PWGTP19,PWGTP20,PWGTP21,PWGTP22,PWGTP23,PWGTP24,PWGTP25,PWGTP26,PWGTP27,PWGTP28,PWGTP29,PWGTP30,PWGTP31,PWGTP32,PWGTP33,PWGTP34,PWGTP35,PWGTP36,PWGTP37,PWGTP38,PWGTP39,PWGTP40,PWGTP41,PWGTP42,PWGTP43,PWGTP44,PWGTP45,PWGTP46,PWGTP47,PWGTP48,PWGTP49,PWGTP50,PWGTP51,PWGTP52,PWGTP53,PWGTP54,PWGTP55,PWGTP56,PWGTP57,PWGTP58,PWGTP59,PWGTP60,PWGTP61,PWGTP62,PWGTP63,PWGTP64,PWGTP65,PWGTP66,PWGTP67,PWGTP68,PWGTP69,PWGTP70,PWGTP71,PWGTP72,PWGTP73,PWGTP74,PWGTP75,PWGTP76,PWGTP77,PWGTP78,PWGTP79,PWGTP80
P,2.017E+12,6,1,500,3,1,1011189,21,32,5,,7,2,2,2,2,2,,,2,1,,2,,,1,2,2,2,2,2,2,0,60,1,1,1,1,2,2,1,2,2010,3,4,,,,,,,,,,3,5,3,3,3,0,0,0,0,1,,16,0,1,0,0,65000,60,1,1,1,2000,1,210,999,7,2,1,,1,,,1,2,8870,82,31,1200,700,1,1,8113,2,,0,8140,,65000,65000,303,501,290,1,1,2,4,1,1,1,0,0,0,0,1,0,0,1,0,,,,,514120,,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,22,41,5,22,39,70,18,16,20,17,23,5,20,35,6,24,6,26,31,5,22,6,31,21,6,5,22,18,25,22,25,50,34,8,38,14,29,22,6,31,25,59,6,13,26,30,19,28,18,24,22,3,31,48,9,23,6,21,38,8,18,5,26,26,5,6,40,15,18,17,22,37,22,8,34,27,47,18,6
P,2.017E+12,6,2,500,3,1,1011189,12,54,1,,1,2,2,2,2,2,,2,2,,,2,,,1,2,2,2,2,2,2,0,85,1,1,2,1,2,2,3,2,2010,3,2,0,1,1,0,0,0,0,0,0,3,5,3,3,3,0,0,1,0,1,,20,0,2,0,0,57000,40,1,1,1,,1,902,999,,2,1,,1,,,1,1,7390,99,43,,700,1,1,5416,1,,0,136,1,57000,57000,1,501,290,1,1,2,2,2,2,2,0,0,1,0,1,0,0,0,0,,,,,113121,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,14,49,5,14,16,21,13,10,14,16,13,3,10,17,4,11,2,13,16,3,15,3,23,10,3,4,16,15,14,20,18,21,10,4,16,11,21,11,4,19,10,15,3,11,21,20,10,16,17,10,15,5,23,31,3,17,3,10,30,4,9,5,15,12,6,3,10,13,13,10,14,32,12,5,24,7,19,13,4
P,2.017E+12,6,3,500,3,1,1011189,13,1,1,,,,2,2,,,,,,,,,,,1,2,2,2,2,2,2,,,,,,5,,,,,,3,,,,,,,,,,,,,,,,,,2,,,,,,2,,,,,,,,,2,211,902,,2,,1,,,,1,2,,,,,700,1,,,1,2,1,,,,,1,501,,,1,2,2,9,68,16,0,0,1,0,2,0,0,1,1,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,14,27,3,11,33,42,9,11,15,10,14,4,18,22,3,15,2,19,23,4,14,2,27,20,4,3,18,9,19,17,13,36,15,3,18,11,23,11,3,21,12,26,3,10,19,27,13,14,13,11,13,2,16,38,5,27,4,15,35,5,11,4,19,14,3,2,22,13,11,17,12,25,15,5,31,14,23,11,4
P,2.017E+12,6,1,1900,3,1,1011189,92,21,1,,1,2,2,2,2,2,,,2,,,,,,1,2,2,2,2,2,2,0,3,1,1,2,5,,,,,,1,4,,,,,,,,,,3,5,3,3,3,3000,0,0,0,2,15,19,0,1,0,0,15000,20,1,1,1,,1,902,999,,2,1,,1,,,1,1,8590,199,119,,,,6,713Z,1,,0,4620,,15000,18000,47,144,1900,1,1,2,3,2,2,2,0,0,1,0,1,0,0,0,0,,,,,399030,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,195,135,106,155,85,119,27,68,27,69,37,109,90,163,102,73,145,31,27,142,95,91,148,132,27,189,107,176,67,26,72,36,134,87,38,23,65,86,92,82,30,24,89,25,114,77,168,117,194,171,137,82,107,33,103,84,28,128,152,25,83,81,26,62,204,30,109,46,103,174,76,124,33,66,147,107,91,64,70,74
P,2.017E+12,6,2,1900,3,1,1011189,95,21,1,,,2,2,2,2,2,,,2,,,,,,1,2,2,2,2,2,2,0,,,,2,5,,,,,,1,4,,,,,,,,,,2,5,2,2,3,0,0,12,0,2,15,19,0,1,0,0,0,,3,,2,,1,740,999,,2,,,6,,,1,1,,,,,,,6,,1,,0,,,0,0,17,0,,,1,2,3,6,48,7,0,1,0,0,1,0,0,0,0,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,,1,,1,,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1,1,0,0,1,0,0,0,1,0,1,1,1,0,1,0,0,0,139,149,53,232,84,105,31,174,26,97,30,125,59,155,127,95,162,34,22,116,87,104,146,111,23,220,73,162,111,36,111,28,131,85,33,27,92,129,65,98,30,40,142,22,113,89,187,86,101,79,146,101,71,15,82,76,36,170,242,29,176,160,56,79,166,24,85,21,131,223,77,180,23,63,117,135,98,79,138,100
P,2.017E+12,6,3,1900,3,1,1011189,154,20,1,,1,2,2,2,2,2,,,2,,,,,,1,2,2,2,2,2,2,0,3,1,1,2,5,,,,,,3,4,,,,,,,,,,3,5,3,3,3,0,0,12,0,2,15,19,0,1,0,0,1200,30,1,6,,,1,902,999,,2,1,,1,,,1,1,8590,97,58,,1090,13,6,713Z,1,,0,4120,,1200,1200,13,9,1900,1,1,2,3,2,2,2,0,0,1,0,1,0,0,0,0,,,,,353041,,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,,1,,1,,1,1,1,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1,1,1,0,0,1,0,0,0,1,0,1,1,1,1,1,1,0,0,310,205,178,288,149,189,47,119,40,101,57,214,151,259,190,122,229,55,49,269,158,162,248,230,45,324,173,319,113,43,137,70,231,139,65,42,118,189,167,149,49,44,163,44,184,119,288,187,318,269,242,135,185,50,161,130,52,239,252,45,163,150,45,110,353,48,158,72,201,315,168,253,61,111,250,199,168,121,110,130
P,2.017E+12,6,1,2701,3,1,1011189,45,67,1,,1,2,2,2,2,2,3,1,2,,,2,,,2,2,1,2,2,1,2,0,15,1,1,2,3,2,2,1,2,1984,1,2,0,0,1,0,0,0,0,0,0,2,5,2,3,2,2500,0,0,0,1,,21,0,1,0,10000,30000,50,1,1,1,,2,903,902,,2,1,,1,5500,5301,1,1,7680,73,31,,,,4,5616,1,,0,3930,,30000,42500,1,363,2700,1,2,1,1,2,2,2,0,0,1,0,1,0,0,0,0,1,2,,,339030,12,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,14,64,58,61,80,12,52,46,88,16,53,48,12,46,62,15,44,42,50,46,11,76,66,74,93,13,36,38,101,13,53,69,11,37,42,15,50,48,47,57,11,70,59,56,95,15,47,37,88,14,42,46,13,48,60,14,44,53,55,40,11,60,75,79,109,13,50,44,105,13,41,51,12,49,44,13,48,39,58,53
P,2.017E+12,6,1,2703,3,1,1011189,55,72,1,,3,2,2,2,2,2,,,2,,,2,,,1,2,1,2,2,2,2,40,20,1,1,2,1,2,2,2,2,1987,1,4,,,,,,,,,,3,5,3,3,3,0,0,0,0,1,,21,0,2,0,29000,103000,40,1,1,1,,2,925,939,,2,1,,1,6201,,1,1,9370,74,31,,,,1,9211MP,1,,0,120,4,103000,132040,1,501,2700,1,1,1,1,1,1,1,0,0,0,0,1,0,0,1,0,2,2,,,113031,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,92,87,54,14,16,65,85,17,82,56,54,52,58,56,51,18,91,55,50,17,55,56,18,53,54,17,54,58,58,17,103,106,95,92,14,47,57,95,104,56,17,17,57,94,94,52,16,87,15,54,52,47,55,61,56,90,16,57,50,97,55,54,90,55,55,96,57,53,65,88,15,16,18,17,89,51,49,19,18
P,2.017E+12,6,2,2703,3,1,1011189,67,80,1,,,2,2,2,2,2,,2,2,,,2,,,2,1,1,2,2,2,2,0,,,,2,1,2,2,2,2,1987,1,2,0,0,0,0,0,1,0,0,0,2,1,2,2,3,0,0,1,31600,1,,16,0,1,0,17500,0,,3,,2,,2,925,939,,2,,,6,,,1,1,,,,,,,1,,1,,0,,,0,49100,29,501,,,1,1,3,1,1,1,0,0,0,0,1,0,0,1,0,,,,,,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,,1,,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62,116,97,60,21,19,67,90,21,119,61,72,69,74,70,60,25,111,67,64,24,69,72,19,58,64,22,72,67,71,22,104,122,99,93,16,62,91,114,116,72,20,18,67,132,102,56,17,114,17,62,73,75,67,76,65,122,23,64,61,113,66,71,134,62,71,127,70,55,65,126,16,20,22,19,115,57,67,23,22
P,2.017E+12,6,1,1100,3,1,1011189,47,32,1,,3,2,2,2,2,2,,,2,,,2,,,2,1,2,2,2,2,2,0,45,1,1,2,5,,,,,,1,4,,,,,,,,,,3,5,3,3,3,0,0,0,0,1,,22,0,1,0,0,43500,40,1,1,1,,4,999,999,,2,1,,1,3401,,1,1,6770,91,43,,,,6,51912,1,,0,2430,,43500,43500,1,381,1100,1,1,2,1,1,1,1,0,0,0,0,1,0,0,1,0,2,2,,,254021,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,39,11,58,12,43,16,14,11,15,38,49,14,13,55,9,14,61,46,90,93,85,65,85,51,114,35,50,45,49,94,65,54,51,97,48,34,90,66,44,49,47,14,35,18,42,14,14,12,15,43,47,16,11,47,13,15,52,48,79,79,94,68,62,50,99,41,42,36,47,71,87,45,54,102,58,37,79,89,48
P,2.017E+12,6,2,1100,3,1,1011189,151,60,3,,,2,2,2,2,2,,,2,,,2,,,2,1,1,2,2,2,2,0,,,,2,1,2,2,1,2,1977,1,4,,,,,,,,,,2,5,2,2,3,0,0,6,0,1,,16,0,1,0,17300,0,,3,,2,1958,4,999,999,2,2,,,6,,,1,1,,,,,,,1,,1,,0,,,0,17300,109,381,,,1,1,3,1,1,1,0,0,0,0,1,0,0,1,0,,,1,1,,,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,149,98,43,130,38,126,43,40,47,65,122,205,50,40,190,42,41,182,197,280,254,263,152,251,210,241,125,186,171,216,271,264,130,128,283,157,139,274,244,182,171,112,54,142,54,141,47,49,41,46,147,194,46,50,187,44,39,142,210,296,283,333,150,186,147,228,155,135,174,142,221,240,132,169,228,135,101,291,252,121
P,2.017E+12,6,3,1100,3,1,1011189,114,58,1,,1,2,2,2,1,1,,,2,,,2,,,2,1,1,2,2,2,2,0,,,,2,1,2,2,1,2,1977,1,4,,,,,,,,,,2,5,2,2,3,0,0,6,0,1,,19,0,2,0,11600,0,,2,,2,,4,999,999,,1,,,6,,,1,1,3770,,,,,,1,3211,1,,0,5120,4,0,11600,1,381,,,1,1,3,1,1,1,0,0,0,0,1,0,0,1,0,,,1,1,433031,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,106,89,27,99,25,109,32,35,36,44,88,125,35,32,136,39,30,129,127,253,210,164,116,197,145,192,100,144,117,142,180,171,93,111,231,119,101,166,191,141,123,87,39,96,41,118,36,37,29,33,110,143,41,35,140,31,30,98,121,218,261,215,108,161,106,189,116,110,116,95,148,156,107,127,180,111,84,198,210,111
P,2.017E+12,6,1,2500,3,1,1011189,13,61,1,,1,2,2,2,2,2,,,2,,,2,,,1,2,2,2,2,2,2,0,25,1,1,2,1,2,2,1,2,1982,1,4,,,,,,,,,,3,5,3,3,3,0,0,0,0,1,,21,0,1,0,0,160000,60,1,1,1,,2,22,88,,2,1,,1,2414,,1,1,570,75,31,,,,2,2211P,1,,0,1410,,160000,160000,12,501,2500,1,1,2,3,1,1,1,0,0,0,0,1,0,0,1,0,1,2,,,172070,,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,4,21,15,13,22,11,14,22,12,12,13,19,3,3,5,3,22,13,14,14,19,4,12,11,4,16,12,3,12,12,12,3,22,22,24,20,3,13,13,12,23,5,14,14,3,13,13,4,13,12,12,3,22,26,21,20,4,14,14,11,5,24,12,12,22,12,12,22,12,13,13,23,3,4,3,5,20,14,12
P,2.017E+12,6,1,200,3,1,1011189,43,41,1,,1,2,2,2,2,2,5,1,2,,,2,,,2,2,2,2,1,1,2,0,15,1,1,2,1,2,2,1,2,1996,1,2,1,1,0,0,0,0,0,0,0,2,5,2,2,3,12000,0,0,12000,1,,22,0,1,0,0,25700,60,1,1,1,,1,924,999,,2,1,,1,5200,,1,1,6170,76,34,,,,1,484,1,,0,9130,,25700,49700,29,166,290,1,1,1,3,1,1,1,0,0,0,0,1,0,0,1,0,1,2,,,533030,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,,1,,1,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,11,40,79,14,17,39,42,87,56,52,43,37,83,51,39,12,15,73,36,69,14,41,71,15,14,40,45,73,42,45,40,41,78,48,41,13,17,75,45,69,13,46,82,15,10,46,46,81,48,46,45,41,66,46,40,13,13,75,46,66,13,42,79,12,12,39,48,91,48,43,39,36,81,48,38,13,14,64,49
P,2.017E+12,6,2,200,3,1,1011189,36,42,3,,,2,2,2,2,2,,,2,,2,2,,,2,2,2,2,1,2,2,0,,,,2,1,2,2,1,2,1996,1,4,,,,,,,,,,2,1,2,2,3,0,0,1,0,1,,19,0,2,0,0,0,,3,,2,1977,1,924,999,4,2,,,6,,,1,1,,,,,,,1,,1,,0,,2,0,0,110,166,,,1,2,3,1,1,1,0,0,0,0,1,0,0,1,0,,,,,,,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,12,36,58,13,12,31,42,77,43,44,36,32,68,41,33,11,13,59,35,57,11,33,56,12,12,35,39,63,37,36,31,41,68,44,37,9,13,60,38,56,12,36,70,11,11,44,38,65,42,38,37,32,56,40,34,11,13,66,38,59,12,33,65,10,12,30,42,74,36,34,33,29,75,43,33,12,14,61,40
P,2.017E+12,6,3,200,3,1,1011189,67,18,1,,,2,2,2,2,2,,,2,,2,,,,2,2,2,2,1,2,2,0,,,,2,5,,,,,,1,4,,,,,,,,,,2,5,2,2,3,0,0,2,0,2,14,14,0,2,0,0,0,,3,,2,,1,924,999,,2,,,6,,,1,1,,,,,,,6,,1,,0,,4,0,0,6,166,,,1,2,3,1,1,1,0,0,0,0,1,0,0,1,0,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,112,16,49,128,27,28,58,70,127,71,68,47,57,123,79,69,20,23,103,59,104,27,66,119,23,16,62,64,127,58,87,69,85,96,66,49,20,22,104,66,82,17,73,141,18,20,75,63,119,76,68,68,62,117,83,66,17,21,118,71,124,20,68,134,18,17,54,60,184,53,84,53,57,136,67,66,23,19,113,87
P,2.017E+12,6,4,200,3,1,1011189,45,15,1,,,2,2,2,2,2,,,2,,,,,,2,2,2,2,1,2,2,0,,,,2,5,,,,,,1,,,,,,,,,,,,,,,,0,0,2,0,2,12,12,0,1,0,0,0,,,,,,1,924,999,,2,,2,,,,1,1,,,,,,,6,,1,1,1,,,,0,37,166,,,1,2,2,1,1,1,0,0,0,0,1,0,0,1,1,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67,12,37,80,16,12,51,45,84,39,50,42,40,100,53,40,13,15,82,36,62,16,59,82,13,15,56,43,62,41,40,45,55,76,40,41,12,19,82,50,65,13,51,77,10,12,40,49,102,49,58,49,44,87,53,38,12,16,77,54,73,11,37,95,14,13,39,51,82,35,50,30,38,85,55,45,18,17,63,51
P,2.017E+12,6,5,200,3,1,1011189,42,8,1,,,2,2,2,,2,,,2,,,,,,2,2,2,2,1,2,2,,,,,2,5,,,,,,1,,,,,,,,,,,,,,,,,,2,,2,4,4,,2,,,,,,,,,1,924,999,,2,,2,,,,1,1,,,,,,,,,1,1,1,,,,,39,166,,,1,2,3,1,1,1,0,0,0,0,1,0,0,1,1,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62,9,43,81,13,12,40,49,84,49,56,40,41,77,41,37,13,15,62,38,61,14,40,71,13,12,38,44,66,40,42,37,46,73,43,42,12,15,63,37,63,12,45,72,11,11,45,43,73,46,41,38,34,68,49,37,13,15,71,43,67,11,47,77,13,12,36,45,77,42,39,36,34,73,49,35,14,14,65,43
P,2.017E+12,6,1,1500,3,1,1011189,36,62,1,,1,2,2,2,2,2,,,2,,,2,,,1,1,2,2,2,2,2,2000,10,1,1,2,1,2,2,2,2,1985,1,4,,,,,,,,,,3,5,3,3,3,0,0,0,0,1,,21,15000,1,0,0,100000,55,1,1,1,,1,903,999,,2,1,,1,5003,3600,1,1,2380,78,37,,,,1,32621,1,,0,430,,115000,117000,1,501,1590,1,1,2,1,2,2,2,0,0,1,0,1,0,0,0,0,1,2,,,119XXX,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,8,67,39,33,10,44,44,29,60,40,30,61,52,28,32,67,11,10,46,63,64,11,39,40,62,9,32,40,9,35,38,10,40,31,42,16,64,56,42,49,55,9,32,40,57,11,41,39,10,33,35,10,34,38,42,7,61,65,33,10,11,47,35,36,9,73,31,35,75,35,34,69,37,31,49,58,12,14,40
